Compound Name,Number of H-bond donors,Number of H-bond acceptors,Molecular Weight,LogP,Meets
,1,3,295.145,3.0294,TRUE
,2,5,382.541,3.9536,TRUE
,3,4,292.379,1.6991,TRUE
,2,4,291.391,2.3334,TRUE
,2,5,382.541,3.9536,TRUE
,2,4,307.434,2.3934,TRUE
_c001,1,3,156.205,-0.4986,TRUE
,8,10,444.488,-0.1392,FALSE
,0,4,360.837,4.68,TRUE
,1,5,466.977,4.1031,TRUE
,0,1,187.286,2.1826,TRUE
,0,8,416.526,1.3839,TRUE
,0,1,287.406,4.985,TRUE
_c001,1,3,325.537,5.5258,FALSE
,0,3,354.49,5.64556,FALSE
,1,6,318.328,-0.0664,TRUE
,1,2,314.498,4.2711,TRUE
,2,5,295.379,1.5299,TRUE
,0,4,259.306,1.8325,TRUE
,2,3,245.33,2.35478,TRUE
_c001,2,5,367.506,2.5305,TRUE
,1,8,371.393,2.5822,TRUE
,2,3,245.33,2.35478,TRUE
,4,6,337.456,-0.768,TRUE
,4,6,178.14,-3.0132,TRUE
,1,8,479.533,3.6778,TRUE
,1,4,473.407,7.4898,FALSE
,2,8,331.467,1.3225,TRUE
,1,6,330.339,0.2486,TRUE
,2,4,427.368,3.4115,TRUE
,1,8,371.393,2.5822,TRUE
,2,7,403.479,-1.4342,TRUE
,1,8,488.577,3.6993,TRUE
,2,3,378.316,4.4479,TRUE
,0,8,532.472,4.4627,FALSE
,0,2,228.291,3.37,TRUE
,2,4,391.572,3.1432,TRUE
,0,4,254.265,0.9563,TRUE
,1,7,319.316,-0.6714,TRUE
,1,1,178.275,3.639,TRUE
,1,5,404.547,4.1955,TRUE
,0,4,254.265,0.9563,TRUE
,1,1,179.307,2.55,TRUE
,1,4,369.505,4.7145,TRUE
,2,6,267.245,-0.19628,TRUE
,0,3,382.891,4.8878,TRUE
,0,8,369.329,-0.1927,TRUE
,4,8,255.234,-1.9709,TRUE
,2,2,308.425,3.2166,TRUE
,2,8,300.226,-1.6612,TRUE
,0,7,360.365,0.2093,TRUE
,1,6,427.526,4.1066,TRUE
,1,4,326.831,2.0299,TRUE
,1,2,261.089,1.884,TRUE
,2,3,142.201,-0.196,TRUE
,1,5,418.574,4.5856,TRUE
,3,4,245.113,1.9467,TRUE
,2,7,408.882,2.2663,TRUE
,1,8,414.41,2.4092,TRUE
,1,5,345.424,2.89974,TRUE
,3,5,254.286,-0.1879,TRUE
_c001,0,3,325.428,3.83236,TRUE
,0,4,429.134,6.1178,FALSE
,1,5,384.259,3.9643,TRUE
,0,5,387.887,1.8135,TRUE
,1,1,306.236,5.1796,FALSE
,0,5,325.46,2.28752,TRUE
,1,6,423.489,1.2384,TRUE
,2,4,148.207,-1.228,TRUE
,3,4,272.37,1.0895,TRUE
,3,4,272.37,1.0895,TRUE
,1,6,437.516,1.2324,TRUE
,3,7,423.526,1.1057,TRUE
,1,6,415.51,1.0485,TRUE
,0,2,314.86,4.5284,TRUE
,2,5,309.406,2.27486,TRUE
,0,3,307.397,3.24884,TRUE
,0,7,562.664,4.7866,FALSE
,0,6,210.285,0.0696,TRUE
,4,9,267.245,-1.98,TRUE
,4,4,302.37,3.5664,TRUE
,0,16,1035.238,7.7098,FALSE
,1,7,306.276,0.7358,TRUE
,1,6,500.579,4.43,FALSE
_c001,1,5,484.967,4.0511,TRUE
,0,2,263.793,3.9598,TRUE
,2,5,325.449,2.3659,TRUE
,2,6,180.206,-2.917,TRUE
,0,4,293.37,3.12852,TRUE
,1,6,350.345,0.4612,TRUE
,1,4,329.371,3.3265,TRUE
,0,2,240.35,3.1652,TRUE
,0,3,204.298,2.1461,TRUE
,3,12,363.198,-2.9879,FALSE
,1,1,206.329,4.106,TRUE
,0,12,705.647,5.5773,FALSE
,0,4,381.907,4.2975,TRUE
,0,2,240.35,3.1652,TRUE
,0,5,122.98,-2.7566,TRUE
,1,2,198.269,2.6958,TRUE
,1,1,310.481,4.8697,TRUE
,0,5,303.293,1.7737,TRUE
,0,12,705.647,5.5773,FALSE
,0,14,1029.278,9.029,FALSE
,0,4,381.907,4.2975,TRUE
,0,1,168.036,2.0835,TRUE
,3,14,656.662,2.7529,FALSE
,4,8,268.273,-0.989,TRUE
,2,6,430.541,2.7168,TRUE
,1,3,277.408,3.0356,TRUE
,1,3,277.408,3.0356,TRUE
,0,7,470.017,3.5519,TRUE
,2,6,236.231,-0.2105,TRUE
,3,9,557.509,-0.4308,FALSE
,1,4,317.223,2.4484,TRUE
,2,2,372.553,3.8145,TRUE
_c001,1,6,367.466,0.6059,TRUE
,2,4,238.243,0.9608,TRUE
,0,1,291.438,4.8773,TRUE
,2,6,211.221,-0.5046,TRUE
,2,6,465.953,3.3581,TRUE
,2,6,268.273,-2.7083,TRUE
,0,4,419.52,3.55938,TRUE
,2,6,212.211,-1.5133,TRUE
,1,11,610.671,6.3191,FALSE
,3,8,285.691,-0.2974,TRUE
_c001,1,2,289.545,5.1447,FALSE
